selling_price,km_driven,max_power,seats,mileage_num,engine_num,torque_NM,torque_rpm,no_year,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
894999,9654,81.8,5,19.5,1197,113,4200,2,0,0,1,0,0,0,0,0,0,0
175000,11000,67.05,5,23.9,998,90,3500,10,0,0,1,0,0,1,0,0,0,0
340000,24300,81.8,5,21.2,1197,113,4200,9,0,0,1,0,0,1,0,0,0,0
1525000,42163,171.5,7,11.3,2755,360,2300,5,1,0,0,0,0,0,0,1,0,0
1025000,8000,108.5,5,21.5,1497,260,2125,3,1,0,0,0,0,0,0,0,0,0
2150000,30000,190,5,22.6,1995,400,2125,5,1,0,0,0,0,0,0,0,0,0
1900000,41000,157.7,5,19.1,2494,213,4500,5,0,0,1,0,0,0,0,0,0,0
2900000,12000,190,5,18.1,1995,400,2125,5,1,0,0,0,0,0,0,0,0,0
450000,71000,164.7,5,12.1,2362,224,4000,12,0,0,1,0,0,0,0,0,0,0
850000,20000,91.1,7,17.5,1373,130,4000,5,0,0,1,1,0,1,0,0,0,0
10000000,30000,400,4,42,1969,640,1740,4,0,0,1,1,0,0,0,0,0,0
300000,100000,103.6,5,20.5,1598,250,2000,10,1,0,0,1,0,1,0,1,0,0
575000,9500,86.8,5,18.1,1196,112,4000,3,0,0,1,1,0,1,0,0,0,0
160000,120000,68,5,20,1399,160,2000,10,1,0,0,1,0,1,0,0,0,0
515000,36600,81.8,5,20.4,1197,113,4200,6,0,0,1,1,0,1,0,0,0,0
390000,50000,67,5,20.5,998,90,3500,6,0,0,1,1,0,0,0,1,0,0
550000,14000,81.83,5,18.6,1197,114.7,4000,5,0,0,1,1,0,1,0,1,0,0
40000,40000,37,4,16.1,796,59,2500,22,0,0,1,1,0,1,0,1,0,0
220000,120000,73.9,5,21.1,1248,113,4500,11,1,0,0,1,0,1,0,0,0,0
425000,70000,82,5,18.9,1197,114,4000,6,0,0,1,1,0,1,0,0,0,0
480000,13000,75,5,19.4,999,95,3650,2,0,0,1,1,0,1,0,0,0,0
400000,60000,82,5,18.9,1197,114,4000,7,0,0,1,1,0,1,0,1,0,0
487000,35000,85.8,5,19.1,1197,114,4000,7,0,0,1,1,0,1,0,0,0,0
386000,44000,82,5,19.1,1197,114,4000,5,0,0,1,1,0,1,0,1,0,0
100000,120000,100,5,13,1493,13.1,4600,16,0,0,1,1,0,1,0,1,0,0
300000,60000,87.2,5,21.4,1364,205,2300,11,1,0,0,1,0,1,0,0,0,0
100000,60000,53,5,18.5,796,71,3500,21,0,0,1,1,0,1,0,0,0,0
1750000,30000,168.5,7,13,2982,343,2400,7,1,0,0,1,0,1,0,1,0,0
450000,15000,82,6,18.1,1198,115,3550,5,0,0,1,1,0,1,0,1,0,0
490000,90000,74,5,22.9,1248,190,2375,4,1,0,0,1,0,1,0,0,0,0
345000,47000,118,5,17,1497,146,2500,12,0,0,1,1,0,1,0,1,0,0
85000,90000,60,5,17.3,993,78,4500,16,0,0,1,1,0,1,0,0,0,0
215000,120600,67.1,5,18.9,998,90,3500,11,0,0,1,1,0,1,0,1,0,0
320000,100000,103.2,5,16.2,1599,14.9,2500,11,0,0,1,1,0,1,0,0,0,1
459999,60000,83.14,5,20.8,1197,115,4000,5,0,0,1,1,0,1,0,1,0,0
65000,86000,83,5,15.3,1341,115,3200,16,0,0,1,1,0,1,0,0,0,0
720000,5000,81.86,5,18.6,1197,117,4000,1,0,0,1,1,0,1,0,0,0,0
800000,37000,88.5,5,28,1248,200,1750,4,1,0,0,1,0,1,0,0,0,0
520000,14000,84,5,20.3,1199,114,3500,2,0,0,1,1,0,1,0,0,0,0
580000,70000,88.76,7,20.7,1248,200,1750,6,1,0,0,1,0,1,0,0,0,0
235000,120000,82,5,19.3,1248,154.9,2500,9,1,0,0,1,0,1,0,0,0,0
600000,50000,117.3,5,17.4,1497,145,4600,6,0,0,1,1,0,1,0,0,0,0
290000,60000,86.8,5,19.4,1198,109,4500,7,0,0,1,1,0,1,0,1,0,0
360000,50000,58.16,5,26.6,998,77,3500,5,0,0,0,1,0,1,0,0,0,0
550000,50000,83.14,5,20.8,1197,115,4000,4,0,0,1,1,0,1,0,0,0,0
375000,70000,82.85,5,18.5,1197,113.7,4000,8,0,0,1,1,0,1,0,0,0,0
40000,90000,82,5,19.3,1248,154.9,2500,18,0,0,1,1,0,1,0,1,0,0
420000,35000,67,5,20.5,998,90,3500,3,0,0,1,1,0,0,0,0,0,0
550000,20000,81.8,5,21.2,1197,113,4200,4,0,0,1,1,0,1,0,0,0,0
270000,20000,47.3,5,24.7,796,69,3500,3,0,0,1,1,0,1,0,0,0,0
700000,7800,81.8,5,22,1197,113,4200,3,0,0,1,1,0,0,0,0,0,0
500000,20000,81.8,5,20.4,1197,113,4200,4,0,0,1,1,0,1,0,0,0,0
1250000,15000,147.94,7,17.6,2179,320,2250,2,1,0,0,1,0,1,0,0,0,0
320000,31377,82.85,5,18.5,1197,113.7,4000,8,0,0,1,1,0,1,0,1,0,0
700000,50000,74.02,5,28.4,1248,190,2000,3,1,0,0,1,0,1,0,0,0,0
290000,60000,67.04,5,20.5,998,90,3500,6,0,0,1,1,0,1,0,0,0,0
550000,100000,138.1,5,14.5,1794,173,4000,9,0,0,1,1,0,0,0,0,0,0
265000,60000,86.8,5,19.4,1198,109,4500,9,0,0,1,1,0,1,0,0,0,0
830000,5000,83.1,5,21.4,1197,115,4000,3,0,0,1,1,0,0,0,0,0,0
800000,60000,147.94,7,14.1,2179,320,2250,4,1,0,0,1,0,1,0,0,0,0
160000,25000,46.3,5,19.7,796,62,3000,10,0,0,1,1,0,1,0,1,0,0
335000,30000,53.3,5,25.1,799,72,4386,3,0,0,1,1,0,1,0,0,0,0
329000,80000,67,5,20.6,1198,104,4000,4,0,0,1,1,0,1,0,1,0,0
775000,75000,88.5,5,24.3,1248,200,1750,4,1,0,0,1,0,1,0,0,0,0
524000,32000,81.86,5,20.1,1197,113.75,4000,1,0,0,1,1,0,1,0,0,0,0
245000,40000,47.3,5,22.7,796,69,3500,6,0,0,1,1,0,1,0,0,0,0
275000,93000,80,5,17,1197,11.4,4000,9,0,0,1,1,0,1,0,1,0,0
520000,60000,88.7,5,17.5,1193,140,2750,3,0,0,1,1,0,1,0,0,0,0
130000,120000,82,5,19.3,1248,154.9,2500,13,0,0,1,1,0,1,0,1,0,0
550000,37000,97.7,5,16.9,1498,134,4000,7,0,0,1,1,0,1,0,0,0,0
910000,15000,121.36,5,17,1497,150,4500,3,0,0,1,1,0,1,0,0,0,0
300000,80000,67.04,5,19.4,1198,104,4000,6,0,0,1,1,0,1,0,0,0,0
350000,140000,67.04,5,20.5,998,90,3500,5,0,0,1,1,0,1,0,0,0,0
900000,70000,162,7,12.8,2696,340,2525,8,1,0,0,1,0,1,0,0,0,0
300000,120000,100,7,17.2,1493,240,2200,8,1,0,0,1,0,1,0,1,0,0
250000,110000,73.9,5,21.1,1248,190,2000,11,1,0,0,1,0,1,0,1,0,0
1100000,37000,126.2,5,19.6,1582,259.9,2325,4,1,0,0,1,0,1,0,0,0,0
270000,44000,53.3,5,25.1,799,72,4386,5,0,0,1,1,0,1,0,0,0,0
640000,80000,88.76,7,20.7,1248,200,1750,6,1,0,0,1,0,1,0,0,0,0
650000,125000,140,7,15.1,2179,330,2200,6,1,0,0,1,0,1,0,0,0,0
409999,13500,73,5,15.3,1196,101,3000,4,0,0,1,1,0,1,0,0,0,0
165000,75000,62.1,5,17.9,1086,96.1,3000,10,0,0,1,1,0,1,0,0,0,0
80000,120000,94,5,13.2,1495,12.5,3500,14,0,0,1,1,0,1,0,1,0,0
535000,120000,140,7,15.1,2179,330,2200,9,1,0,0,1,0,1,0,0,0,0
700000,70000,100.57,7,12.9,2494,200,2400,8,1,0,0,1,0,1,0,0,0,0
550000,70000,74,5,23.4,1248,190,2000,8,1,0,0,1,0,1,0,0,0,0
680000,15000,88.76,5,19,1199,110,4800,2,0,0,1,1,0,0,0,0,0,0
200000,53000,78.9,5,20.3,1197,111.8,4000,12,0,0,1,1,0,1,0,1,0,0
500000,120000,74,5,23.4,1248,190,2000,7,1,0,0,1,0,1,0,1,0,0
1000000,70000,88.5,7,24.5,1248,200,1750,5,1,0,0,1,0,1,0,0,0,0
110000,120000,82.9,5,14.2,1341,11.8,3200,13,0,0,1,1,0,1,0,1,0,0
320000,100000,80,5,18.5,1197,11.4,4000,9,0,0,1,1,0,1,0,1,0,0
75000,110000,82,5,19.3,1248,154.9,2500,16,1,0,0,1,0,1,0,1,0,0
350000,100000,83.11,5,20.4,1197,113,4200,6,0,0,1,1,0,1,0,0,0,0
170000,162500,70,5,19.4,1405,135.4,2500,8,1,0,0,1,0,1,0,0,0,0
800000,39000,88.73,5,22.5,1396,219.7,2125,4,1,0,0,1,0,1,0,0,0,0
500000,75000,74,5,26.8,1248,190,2000,4,1,0,0,1,0,1,0,0,0,0
1380000,50000,153.86,7,17.6,2179,400,2125,4,1,0,0,1,0,0,0,0,0,0
1300000,40000,121,8,17.3,1497,300,2125,2,1,0,0,1,0,1,0,0,0,0
530000,92500,126.3,5,22.3,1582,259.9,2325,8,1,0,0,1,0,1,0,0,0,0
360000,158000,74,5,23.4,1248,190,2000,9,1,0,0,1,0,1,0,0,0,0
310000,120000,73.9,5,19.3,1248,190,2000,9,1,0,0,1,0,1,0,0,0,0
725000,50000,98.6,5,26,1498,200,1750,6,1,0,0,1,0,1,0,1,0,0
340000,110000,73.9,5,19.3,1248,190,2000,9,1,0,0,1,0,1,0,0,0,0
550000,2000,73.97,5,25.4,1186,190.25,2000,4,1,0,0,1,0,1,0,1,0,0
1150000,181000,171,7,11.5,2982,343,2400,10,1,0,0,1,0,1,0,1,0,0
380000,70000,69,5,27.2,1047,140,2400,5,1,0,0,1,0,1,0,0,0,0
350000,90000,99.6,5,17.9,1498,134,4000,8,0,0,1,1,0,0,0,1,0,0
610000,2000,81.86,5,18.6,1197,117,4000,2,0,0,1,1,0,1,0,0,0,0
525000,20000,83.14,5,20.8,1197,115,4000,6,0,0,1,1,0,1,0,0,0,0
480000,120000,102,7,12.8,2494,20.4,2500,10,1,0,0,1,0,1,0,0,0,0
780000,35000,105,6,16.5,2498,247,1900,4,1,0,0,1,0,1,0,0,0,0
320000,193000,73.9,5,19.3,1248,190,2000,9,1,0,0,1,0,1,0,0,0,0
375000,80000,81.8,5,20.4,1197,113,4200,7,0,0,1,1,0,1,0,0,0,0
300000,40000,67.05,5,19,1198,104,4000,2,0,0,1,1,0,1,0,0,0,0
500000,70000,88.73,5,22.5,1396,219.7,2125,6,1,0,0,1,0,1,1,0,0,0
404000,122358,120,9,12,2179,290,2300,10,1,0,0,1,0,1,0,0,0,0
500000,75000,69.01,7,14,2956,223,1900,6,1,0,0,1,0,1,0,0,0,0
350000,120000,69,5,27.2,1047,140,2400,4,1,0,0,1,0,1,0,0,0,0
380000,40000,88.7,5,17.5,1193,140,2750,6,0,0,1,1,0,1,0,0,0,0
114999,95200,94,5,13.2,1495,12.5,3500,13,0,0,1,1,0,1,0,0,0,1
335000,33033,86.8,5,19.4,1198,109,4500,7,0,0,1,0,0,1,0,0,0,0
465000,63063,82,5,18.9,1197,114,4000,6,0,0,1,0,0,0,0,0,0,0
290000,60000,88.76,5,21,1248,200,2375,9,1,0,0,1,0,1,0,0,0,0
110000,45000,46.3,5,19.7,796,62,3000,16,0,0,1,1,0,1,0,1,0,0
450000,80000,138.1,7,11.5,2179,320,2200,10,1,0,0,1,0,1,0,0,0,1
400000,170000,63,7,13.6,2523,180,1470,12,1,0,0,1,0,1,0,1,0,0
210000,207890,63,7,13.6,2523,180,1470,14,1,0,0,1,0,1,0,1,0,0
4600000,7976,170,5,17.9,2143,400,2100,3,1,0,0,1,0,0,0,0,0,0
220000,35000,34.2,8,16.8,796,59,2500,5,0,0,1,1,0,1,0,0,0,0
450000,35000,82,5,18.9,1197,114,4000,4,0,0,1,1,0,1,0,0,0,0
450000,35000,82,5,18.9,1197,114,4000,4,0,0,1,1,0,1,0,0,0,0
290000,50000,78.9,5,16.9,1197,111.8,4000,8,0,0,1,1,0,0,0,0,0,0
520000,20000,81.8,5,20.4,1197,113,4200,5,0,0,1,1,0,1,0,0,0,0
265000,20000,78.9,5,16.9,1197,111.8,4000,10,0,0,1,1,0,0,0,0,0,0
330000,50000,85.8,5,18.6,1197,114,4000,9,0,0,1,1,0,1,0,1,0,0
330000,50000,85.8,5,18.6,1197,114,4000,9,0,0,1,1,0,1,0,1,0,0
509999,120000,62.1,7,15.9,2523,195,1800,7,1,0,0,1,0,1,0,0,0,0
500000,70000,121.3,5,17.1,1591,154.9,4200,7,0,0,1,1,0,1,0,0,0,0
525000,50000,81.86,5,17.1,1197,114.73,4000,6,0,0,1,1,0,1,0,0,0,0
675000,16500,81.8,5,21,1197,113,4200,2,0,0,1,1,0,1,0,0,0,0
